Dates,DM Equity,EM Equity,IG Bonds,HY Bonds,Commodities,Private Equity,Real Estate,T-Bills
01.01.1999,100.3309,99.5073,100.2688,100.4867,98.0021,99.2384,100.262,99.9999
04.01.1999,100.3378,98.8493,100.5617,100.8698,97.93,100.0647,101.0552,99.9869
05.01.1999,100.7346,98.4876,100.8745,101.0489,97.6001,99.7393,102.2801,99.9917
06.01.1999,100.3237,97.827,101.0363,101.1504,97.7982,99.6196,103.8806,99.9895
07.01.1999,99.8297,96.7341,101.2246,101.4792,97.4234,98.4309,102.8144,100.0139
08.01.1999,100.6013,97.8818,101.0578,101.7192,98.0378,99.6144,104.2061,100.0263
11.01.1999,101.3136,98.6141,101.1926,102.2263,97.0063,100.2395,104.5075,100.018
12.01.1999,101.0568,99.5372,100.9058,102.5083,95.8887,100.1788,104.4833,100.0387
13.01.1999,101.8053,100.8831,100.8354,102.5701,97.165,100.9669,103.9984,100.0183
14.01.1999,100.8861,100.395,100.844,102.6634,96.6692,100.3123,103.9517,100.018
15.01.1999,101.3746,100.3496,100.7695,102.5345,95.434,101.0247,103.8692,100.0261
18.01.1999,101.8899,101.2049,101.0092,102.8292,95.349,101.5938,103.0585,99.9989
